nombre,nombre_corto,rol,dialogo
RICARDO ANAYA,Anaya,Candidato,"Luis Ángel, muchas gracias por tu pregunta, creo que haces una pregunta clave. Por un lado, por supuesto, diversificar, pero por el otro tenemos que replantear la relación con Estados Unidos, no perdamos de vista que el 80% de nuestras exportaciones son a Estados Unidos. Dicen que en política no se cometen errores, se comete un error y lo demás son consecuencias.Fue un error histórico inaceptable haber recibido a Donald Trump en los Pinos cuando el señor llevaba un año en plena campaña insultando, dejando, agrediendo a los mexicanos.No se tomaron la molestia ni siquiera de leer los libros de Trump, su filosofía es clara, provocar al oponente, si es débil lo aplasto, si es fuerte, negocio, cuando mi oponente es débil lo aplasto, y se ha dedicado a tratar de aplastar los, no observar una ley de vida básica, ¿quieres que el de enfrente te respete? Empieza por respetarte tú mismo. Voy a ser un presidente que si actúe con dignidad, y yo sí, Luis Ángel, pues a defender el interés nacional."
LEÓN KRAUZE,NA,Moderador,"Gracias, candidato."
YURIRIA SIERRA,NA,Moderador,"Candidato Meade, Luis Ángel, le recuerdo la pregunta, quiere saber cuáles serán las acciones concretas para reorientar la exportación mexicana con el fin de de reducir el impacto económico por la dependencia del TLC."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches, muy buenas noches, Yuriria, León, muchas felicidades al Santos.Luis Ángel, tenemos oportunidades en muchas partes del mundo y las vamos a aprovechar. Pero antes de hablar de comercio y de inversión, tenemos que hablar de respeto. El presidente Trump hace cuatro días nos volvió a insultar, y cada vez que nos insulta, nuestros migrantes y su vida y su dignidad corren peligro. En mi gobierno no vamos a permitir ningún acuerdo de ningún tipo, en ningún tema, que no esté basado en el respeto. No voy a permitir bajo ninguna circunstancia que se nos falte al respeto jamás, ese es mi compromiso con ustedes."
YURIRIA SIERRA,NA,Moderador,"Muchas gracias, candidato Meade."
LEÓN KRAUZE,NA,Moderador,"Comenzamos ahora con las preguntas de los moderadores, haciendo eco, evidentemente, de las preocupaciones del público.Candidato López Obrador, la dificultad de las negociaciones del Tratado de Libre Comercio no se entienden sin la presidencia de Donald Trump. En julio de 2015, cuando Donald Trump anunció su candidatura a la presidencia, le tomó 90 segundos, los conté, comenzar a agredir a México. Llamó a los inmigrantes mexicanos criminales, narcotraficantes, violadores, y desde entonces no ha parado, ha lastimado y ofendido a millones de familias mexicanas aquí y allá. Usted ha dicho que va a convencer a Trump de moderarse y le va a pedir que nos respete, yo le pregunto cómo se mide el respeto, dígame un parámetro específico y medible con el que nos daremos cuenta que Donald Trump nos está respetando en su gobierno y cómo conseguirlo concretamente, por favor."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Con autoridad moral. El problema, León, es de que los gobernantes de México no ha tenido autoridad moral, no se ha tenido por lo mismo autoridad política. En efecto Donald Trump ha ofendido al pueblo de México y ofendido al gobierno de México, ha llegado a decir que el gobierno es corrupto, fíjate lo que son las cosas, tengo que aceptar que es cierto, me duele mucho tener que aceptar que el Gobierno de México ex corrupto, no permito que lo haga un gobierno extranjero porque somos libres, somos independientes."
LEÓN KRAUZE,NA,Moderador,"Lo entiendo, pero le pido un parámetro medible para saber que nos están respetando. Un parámetro medible."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Que haya honestidad.
LEÓN KRAUZE,NA,Moderador,De Estados Unidos a México.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Que haya honestidad en México, que el gobierno de México sea honesto, que no seamos candil de la calle y oscuridad de la casa. Trump dice `me tranzaron` los del Gobierno de México y es mucho decir, que se hayan tranzado a Trump en negocios que él ha querido emprender en México."
LEÓN KRAUZE,NA,Moderador,Déjeme preguntarle otra cosa. Permítame.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Es muy importante la honestidad.
LEÓN KRAUZE,NA,Moderador,"Déjeme preguntarle esto, si usted decide de importar maíz estadounidense como ha dicho, fundamental para varios estados afines a Trump y Trump responde anunciado medidas contra, digamos, los productores de aguacates mexicanos qué va hacer usted, estamos hablando de cientos de miles de mexicanos que trabajan en el cultivo del aguacate, por cierto, somos líderes mundiales, si comienza una guerra comercial porque usted decide dejar de importar maíz estadounidense qué va hacer."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Vamos a entendernos, vamos hacer entrar en razón a Donald Trump, cómo, con autoridad, con soberanía, lo que no han hecho los gobiernos mexicanos que no tienen autoridad moral porque son gobiernos corruptos. Entonces vamos nosotros a cambiar las relaciones y Trump va a tener que aprender a respetarnos, eso te lo puedo garantizar."
LEÓN KRAUZE,NA,Moderador,Gracias candidato López Obrador. El candidato Meade la primera réplica de dos que tiene usted.
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muchas gracias León. Luis Ángel hizo una pregunta muy puntual, qué podríamos hacer para diversificar nuestro comercio, y les tengo una muy buena noticia, hace apenas unas semanas se firmó un acuerdo comercial muy grande que nos permite venderle a la tercer región más importante del mundo, donde está Japón y donde está Australia, les tengo una mala noticia, una secta votó en contra de esto en el Senado, la de Morena o no sabe o no quiere que progresemos."
LEÓN KRAUZE,NA,Moderador,¿Candidato López Obrador quiere responder?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Pues el debate es para atacarme, es obvio y diría que comprensible, estamos 25 puntos arriba en las encuestas, y están pensando que se van a recuperar, aquí que van a remontar su desventaja, no lo van a lograr, no voy a caer en provocaciones."
LEÓN KRAUZE,NA,Moderador,"Candidato Anaya, primera réplica."
RICARDO ANAYA,Anaya,Candidato,"Le hicieron una pregunta muy puntual a López Obrador y como es su costumbre, no respondió, México hace mucho por Estados Unidos, y es cierto, Estados Unidos necesita a México, pero Estados Unidos también necesita de nuestro país, porque le pedimos visa a quienes vienen de países que son antagonistas de Estados Unidos, Irak, Irán, Yemen justamente para que ellos tengan un control.Cuántos terroristas han entrado por México a Estados Unidos, cero, vamos a poner todo sobre la mesa con firmeza."
LEÓN KRAUZE,NA,Moderador,"Gracias candidato. Candidato Rodríguez Calderón, primera réplica de dos."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Cómo sustituir el maíz, es algo que a los americanos hay que ponerles la pierna dura, y ya no permitir ninguna ofensa ni comercial ni supeditada, creo que Andrés no lo entiende al tema de la producción, las encuestas Andrés no son suficientes, hoy el Santos le ganó al Toluca, y todo mundo decía que ganaba Toluca, es muy sencillo, compremos en otra parte."
LEÓN KRAUZE,NA,Moderador,"Gracias candidato, Yuriria, adelante."
YURIRIA SIERRA,NA,Moderador,"Candidato Rodríguez Calderón, supongamos que el próximo 1 de julio usted resulta electo presidente de México y bueno la estrategia tequilita y la estrategia hamburguer como usted ha declarado con anterioridad que de esa forma negociaría con Donald Trump las relaciones entre México y Estados Unidos supongamos que no funcionan y un día amanece y se encuentra con un tuitazo anunciando que el Tratado de Libre Comercio se va a cancelar, el que es entre México, Estados Unidos y Canadá.¿Cuál sería candidato su plan B?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Evidentemente no es totalmente suficiente el Tratado de Libre Comercio, tenemos que entender eso. Tenemos la capacidad de poder negociar y poder mercadear en cualquier parte del mundo, tenemos que quitarnos esa actitud del ratón chaparro y que no es capaz de poder convencer a otros. No hay plan B, yo siempre tengo dos plan A, o tres plan A, nunca he sido un hombre de plan B."
YURIRIA SIERRA,NA,Moderador,Cuénteme cuál es su segundo plan A.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien, el plan A es precisamente que tenemos que hablarle claro al presidente Trump. Dije lo del tequilita antes de que él nos dijera `animales`, ya voy a sustituir el tequilita y vamos a hablar directo para que él entienda también que nadie le ha respondido. Nos mandó al yerno y nosotros le mandamos un enviado. Yo me le voy a poner enfrente, obviamente a hablar, a platicar, a negociar y creo que podríamos hablar en el Tratado de Libre Comercio, no solamente de comercio. No estamos considerando la integridad de las personas. En el Tratado de Libre Comercio del pasado se negoció comercialmente todo y no estaba metido ahí ni el petróleo ni los bancos."
YURIRIA SIERRA,NA,Moderador,"¿Usted los pondría, digamos, en una renegociación?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Claro, claro."
YURIRIA SIERRA,NA,Moderador,En una segunda fase de la renegociación del tratado.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Claro, en una segunda fase que tenemos que poner en una condición. ¿Qué tal si recuperamos Banamex y se los entregamos?"
YURIRIA SIERRA,NA,Moderador,"O sea, ¿usted está hablando de una expropiación expropiación bancaria?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Vamos a trabajar para que él entienda y los negociadores americanos también entiendan que tenemos cartas diferentes también al tratado original. Yo tengo un equipo trabajando en eso y creo que hay alternativas, no solamente en el Tratado de Libre Comercio, tenemos que ver también otros países, otros mercados que permitan que México potencie…"
YURIRIA SIERRA,NA,Moderador,"Permítame regresar al tema de la banca. ¿Usted está hablando de expropiar un banco, candidato?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Negociar.
YURIRIA SIERRA,NA,Moderador,¿Negociar qué exactamente?
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Todo aquello que no se negoció en el tratado anterior. No tenemos que basarnos…
YURIRIA SIERRA,NA,Moderador,"Sí, pero la banca, dígame si me está diciendo que estaría dispuesto a expropiar un banco."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,Banamex.
YURIRIA SIERRA,NA,Moderador,"¿Usted estaría dispuesto, sí?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Claro, si los gringos siguen con esa dureza, tenemos que regresarle a México muchas cosas y no entregarnos. Lo dije al principio, tenemos que destetarnos ya de los americanos y poder hablar de igual a igual."
YURIRIA SIERRA,NA,Moderador,"¿Usted estaría dispuesto a expropiar algo más? Y queda prácticamente nada de tiempo, nada más dígame si sí o si no."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Ahí la dejamos, al ratito contesto."
YURIRIA SIERRA,NA,Moderador,"Muchas gracias, candidato Rodríguez Calderón."
LEÓN KRAUZE,NA,Moderador,"Bueno, vamos con el candidato Meade. Como sabemos, no existiría esa situación en la que nos encontramos ni estaríamos platicando del Tratado de Libre Comercio y la renegociación si Donald Trump no hubiera llegado a la Presidencia. Usted era Secretario de Relaciones Exteriores cuando Trump apareció en el escenario político estadounidense. Varias voces, en su momento, lo criticaron por responder con timidez a la amenaza trumpista. México incluso tardó meses, candidato, en nombrar un Embajador en Washington cuando en el escenario había aparecido un candidato abiertamente antimexicano, probablemente por primera vez en la historia de Estados Unidos. De nuevo, candidato antimexicano, Embajada vacante. Le pido un ejercicio de autocrítica. ¿Se equivocó como Canciller? ¿Debió ser más firme con Trump en su momento?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira, yo te diría que yo no anticipé que fuera a ganar. La verdad es que yo creo que muy pocos lo hicieron. Yo les pregunto a quienes nos están escuchando, todavía ese día en la mañana yo pensé que no tendría posibilidades de ganar. Yo creo que fue una sorpresa la elección, la verdad es que enfrentamos un escenario bastante amplio y complejo, era difícil anticipar que fuera a ganar. Pero fuimos claros, fuimos claros en denunciar en su oportunidad el racismo, fuimos claros en denunciar en su oportunidad la ignorancia y fuimos claros, y tú le preguntabas, León, a Andrés Manuel, `¿cómo medirías el resultado de la política, cómo medirías el respeto?` Cuando Trump hizo campaña, se decía que se iban a acabar las remesas, que tendríamos un impuesto trasfronterizo, que estaría haciendo redadas, que denunciaría el Tratado de Libre Comercio. Y al día de hoy, con muchas dificultades, con enormes problemas y con grandes retos, pero muchas de esas amenazas que estaban presentes se han venido conjugando."
LEÓN KRAUZE,NA,Moderador,"Me interesa ese ángulo. Un año después, el Gobierno de México decidió invitar al candidato Trump a Los Pinos. La revista `The Economist`, que estoy seguro que usted lee, calificó la invitación de inexplicable e imperdonable. Una encuesta posterior, 7 de cada 10 mexicanos dijeron sentirse ofendidos por la visita. Usted ya estaba en Sedesol, eso es cierto; pero declaró que la visita de Trump había servido a México porque Trump ya no veía al país como una amenaza sino como un aliado. Y candidato, con todo respeto, aquí estamos dos años después, usted dice que las cosas están mejor, yo no lo veo."
JOSÉ ANTONIO MEADE,Meade,Candidato,"¡No, yo creo que las cosas están terribles, en muchos sentidos!, y hoy quien nos está escuchando vive en la zozobra de un Gobierno que es capaz…"
LEÓN KRAUZE,NA,Moderador,"Se equivocó el Presidente Peña Nieto, ¿sí o no?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"… de un Gobierno… ¡Déjame, León, que te conteste!, de un Gobierno que es capaz como escuchábamos ayer de calificar a los migrantes de `animales` y ya hemos comentado que eso es inaceptable, pero también vale la pena recordar cuál era la amenaza que teníamos el año pasado.El año pasado se pensaba que empezando la administración se saldría del Tratado de Libre Comercio y si hacemos un recuento, dijo que se saldría del Acuerdo Climático de París…"
LEÓN KRAUZE,NA,Moderador,¡Eso ya no… eso ya no lo dijo!
JOSÉ ANTONIO MEADE,Meade,Candidato,"¡Pérame, pérame, pérame! ."
LEÓN KRAUZE,NA,Moderador,"¡No, permítame usted a mí!"
JOSÉ ANTONIO MEADE,Meade,Candidato,El Acuerdo de París…
LEÓN KRAUZE,NA,Moderador,"¡Permítame usted a mí! Permítame usted a mí. Le pido una… una respuesta binaria, ¿se equivocó el Presidente Peña Nieto en invitar a Donald Trump a Los Pinos, sí o no?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Yo creo que juzgado por los resultados, ¡no!"
LEÓN KRAUZE,NA,Moderador,¡No!
JOSÉ ANTONIO MEADE,Meade,Candidato,Y juzgado por los resultados que si me das alguna oportunidad los refiero…
LEÓN KRAUZE,NA,Moderador,¡Ahora sí!
JOSÉ ANTONIO MEADE,Meade,Candidato,"TPP, ya se salió; Acuerdo Nuclear de Irán, ya se salió; del Acuerdo Migratorio de la ONU ya se salió; del Acuerdo de París, ya se salió y hoy estamos negociando el Tratado de Libre Comercio, estamos haciendo un enorme esfuerzo y queremos que sepan y que nos escuchen los migrantes en casa: no vamos a descansar hasta que no estén ciertos y tranquilos y los vamos a sumar con todos: son sociedad civil, con litigio, con enorme enjundia y con gran compromiso para no volverles a fallar."
LEÓN KRAUZE,NA,Moderador,"Gracias, candidato.Candidato Anaya: el Presidente francés Macrón ha intentado hacerse amigo de Donald Trump: lo paseó por París, lo subió a la Torre Eiffel, luego fue a la Casa Blanca y sembró un arbolito con él, ¡hasta besos le dio en la Casa Blanca! Macrón lo quería convencer como bien lo señala el candidato Meade de respetar el cambio climático, el Acuerdo Climático de París y el Acuerdo Nuclear con Irán, ¡no lo logró, ninguna de las dos cosas!Usted ha dicho que hay que enfrentar a Trump, en una entrevista incluso sugirió que había que decirle a Trump: `Discúlpese y váyase`. Con todo respeto, esa estrategia de confrontación que usted sugiere no la ha intentado ni siquiera Kim Jong-un, el líder norcoreano, a ese grado. ¿No le parece a usted arriesgado, con el Tratado de Libre Comercio sobre la mesa, hasta dónde llegaría usted en esa confrontación?"
RICARDO ANAYA,Anaya,Candidato,"Gracias, León. Se lo dije con muchísima claridad a Luis Ángel: en política no se cometen errores, se comete un error y lo demás son consecuencias. ¡Yo sí te respondo lo que Meade no quiso contestar!: no sólo fue un error, fue una humillación al pueblo de México que cuando este señor llevaba un año insultando, vejando, agrediendo a los mexicanos, diciéndonos violadores, asesinos, lo hayan recibido con alfombra roja en Los Pinos.Lo dice él mismo, en los propios libros que ha publicado: le gusta provocar al adversario para ver justamente cómo reacciona. Si el adversario…"
LEÓN KRAUZE,NA,Moderador,"Sí, pero la pregunta es cómo… la pregunta es si usted va a confrontar a Donald Trump, que usted ha dicho que lo va a confrontar."
RICARDO ANAYA,Anaya,Candidato,Voy a actuar con absoluta dignidad y firmeza.
LEÓN KRAUZE,NA,Moderador,¿Cómo?
RICARDO ANAYA,Anaya,Candidato,"La relación va a ser de respeto, pero de respeto mutuo, haciendo valer la posición de México."
LEÓN KRAUZE,NA,Moderador,"El respeto me suena abstracto, ¡perdón!, ¿cómo?"
RICARDO ANAYA,Anaya,Candidato,"¡Varias cosas! Uno, en materia de seguridad: nos necesitan y mucho, tenemos una frontera de tres mil kilómetros. Desde los actos terroristas de los 90, pasando por el de las Torres Gemelas, ¿cuántos terroristas han entrado a Estados Unidos por México?: ¡Cero! ¿Cuál es el país al que más exporta Texas, que es un bastión republicano?: ¡Por mucho, México! Texas le exporta más a México que todo Estados Unidos a Japón. Queremos una relación de respeto, León, pero de respeto mutuo; el respeto tiene que ser de ida y vuelta…"
LEÓN KRAUZE,NA,Moderador,Usted ha dicho…
RICARDO ANAYA,Anaya,Candidato,…y cuando uno no se respeta a sí mismo no va a tener respeto .
LEÓN KRAUZE,NA,Moderador,"Lo entiendo. Jorge Castañeda, su coordinador de estrategia y ex canciller mexicano, sugiere pintar una línea roja e incluso suspender temas de cooperación. Yo quiero saber hoy aquí si usted va a suspender temas de cooperación si el señor Trump insiste en su tono. Por cierto, podría usted o cualquiera de los candidatos coincidir con Trump ¡seis años!, el sexenio entero si el señor gana reelección en 2020. Dígame si está dispuesto a suspender temas de cooperación."
RICARDO ANAYA,Anaya,Candidato,"Lo dijo tu padre que es un intelectual verdaderamente brillante: a los tiranos, a los bullys, no se les apacigua, se les enfrenta, respetan a aquel que se respeta a sí mismo. Por supuesto que hay que poner todo sobre la mesa, todo lo que tiene que ver con la relación de cooperación y cuando él vea firmeza y dignidad de México vamos a merecer respeto, estoy seguro de que esa es la vía.Quiero ser un Presidente que se comporte con dignidad y que verdaderamente defienda el interés nacional."
LEÓN KRAUZE,NA,Moderador,"¿Suspendemos temas de cooperación, si el asunto sigue entonces?"
RICARDO ANAYA,Anaya,Candidato,Se pone todo sobre la mesa en…
LEÓN KRAUZE,NA,Moderador,¡Todo!
RICARDO ANAYA,Anaya,Candidato,"…una negociación de tú a tú y en esas negociaciones se obtienen buenos resultados, se actúa con valor, se actúa con dignidad y se actúa con firmeza defendiendo el interés nacional."
LEÓN KRAUZE,NA,Moderador,"Gracias, candidato Anaya.Candidato Meade…"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Solamente para decir que el valor se acredita de frente, que el día que México tenga miedo de hablar con un contrincante, de hablar con un adversario, de hablar con alguien que lo amenaza sin dar la cara, sin en frente de él decirle cuáles son los límites, cuáles son las líneas rojas, qué se espera de la relación, qué no estamos dispuestos a transigir, y si después de eso, a un tiempo de distancia esas líneas rojas se han respetado, quiere decir que la diplomacia funcionó, no la bravuconería, no esconderse atrás de la frontera para insultarlo."
LEÓN KRAUZE,NA,Moderador,"Gracias candidato Meade. Candidato Anaya, su segunda réplica. Candidato Rodríguez Calderón. Candidato López Obrador, por favor."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Tengo tiempo.
LEÓN KRAUZE,NA,Moderador,"Sí señor, tiene una réplica."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, yo creo que se debe de fortalecer la economía nacional, el mercado interno, que tenemos que rescatar al campo del abandono en que se encuentra, ser autosuficientes en alimentos, no apostar también a la compra de las gasolinas en el extranjero, y en esa medida vamos a ser fuertes y no nos va a importar ninguna amenaza de ningún gobierno extranjero."
LEÓN KRAUZE,NA,Moderador,"Gracias candidato. Candidato Anaya, ahora sí, segunda réplica."
RICARDO ANAYA,Anaya,Candidato,"Sí, este bloque habla también de inversión, y yo aquí quiero decir que para que haya empleo en un país tiene que haber inversión, y vale la pena que empecemos a discutir, porque cuando tú fuiste jefe de gobierno, Andrés Manuel, se cayó la inversión, aquí tengo el censo económico de 2014… la inversión como capital fijo se desplomó cuando tú fuiste jefe de gobierno de la Ciudad de México, y cuando no hay inversión no hay empleo, discutámoslo, explícalo, Andrés."
LEÓN KRAUZE,NA,Moderador,Gracias candidato Anaya. Candidato Rodríguez Calderón.
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien. Creo que toda esta relación viene de los tres. Están engañando al pueblo mexicano, totalmente, uno con su amor y paz y su corazón negro; el otro no pudo en las tres posiciones que tenía; y él habla de decirle a Trump y tiene que todavía a sus hijos en Estados Unidos, mexicanos, los tres están en una condición igual, no van a poder hablarle a Trump siquiera."
LEÓN KRAUZE,NA,Moderador,"Gracias candidato. Yuriria, cambiamos, su segmento ahora."
YURIRIA SIERRA,NA,Moderador,"Es el segundo segmento de este primer bloque, otra vez la pregunta va a correr a cargo de uno de nuestros ciudadanos aquí presentes. Les recuerdo, candidatos, que tienen, este es un bloque de libre discusión, pueden hacer uso de la palabra hasta por un minuto, más de un minuto no se puede, y tienen 2:30 minutos cada uno de ustedes. Diego Domínguez Sánchez, lo tenemos por aquí, aquí esta, tú tienes el honor de hacerle la segunda pregunta a los candidatos en este histórico primer debate con público participativo. Adelante."
ASISTENTE,NA,Público,"Gracias Yuri. Buenas noches señores candidatos, moderadores. Mi pregunta es esta. Mi nombre es Diego Domínguez Sánchez, soy originario de Veracruz, viví en Estados Unidos por 13 años, desde los 22 años emigré para allá, regresé hace tres años a México y veo una disparidad muy fuerte entre los salarios. Hoy trabajo 12 horas al día, una jornada mucho más grande de la que trabajaba yo allá, y hoy gano menos de la mitad de lo que yo ganaba allá. Mi pregunta concreta es: se ha hablado en las negociaciones del Tratado de Libre Comercio que Estados Unidos y Canadá están impulsando que el salario mexicano aumente. En concreto me gustaría saber su postura de sí o no a aumentar el salario mínimo y cómo lo van a lograr."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Yo estoy en eso de acuerdo…
YURIRIA SIERRA,NA,Moderador,"Empezábamos, perdón candidato, empieza este bloque el candidato Meade, discúlpenos, esto es una pequeña confusión que tuvo aquí la moderación."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Diego, te platico muy rápidamente. El comercio y la inversión tiene que servir para cerrar brechas, y hoy en México tenemos brechas muy importantes, tenemos una gran distancia entre el norte y el sur, tenemos una gran distancia entre el hombre y la mujer, tenemos una gran distancia entre los mexicanos que tienen mucho y los mexicanos que no tienen nada, y tenemos que lograr que el comercio y la inversión nos ayuden a cerrar esas brechas. Para eso sirve el comercio y la inversión. Yo fui secretario de Hacienda efectivamente dos veces, y pude, y pude bastante bien, me encargaron un cierre y me encargaron el año más difícil de la economía mexicana en mucho tiempo. Me tocó desaparecer la primera zona para hacer solamente una, la del salario mínimo, me tocó ser el secretario de Hacienda en dos ocasiones que más lo incrementó, hay que mejorar y trabajar para que esa distancia entre norte y sur se haga más breve, con inversión, con comercio, pero trabajando directamente con las familias y viendo cómo les podemos ayudar."
